Tiempo_Elastico,Posicion_1_Elastico,Velocidad_1_Elastico,Aceleracion_1_Elastico,Posicion_2_Elastico,Velocidad_2_Elastico,Aceleracion_2_Elastico
4.01,-0.2330,0.217,0.651,0.0990,-0.269,0.395
4.03,-0.2300,0.223,0.352,0.0960,-0.265,0.260
4.04,-0.2270,0.225,0.000,0.0920,-0.263,0.122
4.05,-0.2240,0.223,-0.352,0.0890,-0.263,0.022
4.07,-0.2210,0.217,-0.651,0.0850,-0.263,-0.022
4.08,-0.2180,0.198,-0.395,0.0820,-0.263,-0.117
4.09,-0.2160,0.198,0.395,0.0780,-0.265,-0.234
4.11,-0.2130,0.217,0.651,0.0750,-0.269,-0.273
4.12,-0.2100,0.223,0.352,0.0710,-0.281,0.260
4.13,-0.2070,0.225,0.000,0.0670,-0.263,0.790
4.15,-0.2040,0.223,-0.356,0.0640,-0.244,0.260
4.16,-0.2010,0.217,-0.681,0.0610,-0.256,-0.273
4.17,-0.1980,0.198,-0.538,0.0570,-0.260,-0.234
4.19,-0.1960,0.196,0.039,0.0540,-0.263,-0.117
4.20,-0.1930,0.208,0.117,0.0500,-0.263,-0.022
4.21,-0.1900,0.198,0.221,0.0470,-0.263,0.022
4.23,-0.1880,0.204,0.812,0.0430,-0.263,0.122
4.24,-0.1850,0.235,0.395,0.0400,-0.260,0.260
4.25,-0.1810,0.223,-0.551,0.0360,-0.256,0.391
4.27,-0.1790,0.204,-0.495,0.0330,-0.242,-0.026
4.28,-0.1760,0.210,-0.356,0.0300,-0.256,-0.512
4.29,-0.1730,0.196,-0.187,0.0260,-0.263,-0.490
4.31,-0.1710,0.198,0.365,0.0230,-0.269,-0.369
4.32,-0.1680,0.215,0.295,0.0190,-0.281,0.356
4.33,-0.1650,0.215,-0.299,0.0150,-0.260,1.063
4.35,-0.1620,0.198,-0.395,0.0120,-0.238,0.794
4.36,-0.1600,0.196,0.039,0.0090,-0.235,0.460
4.37,-0.1570,0.208,-0.026,0.0060,-0.246,1.658
4.39,-0.1540,0.196,-0.161,0.0020,-0.219,4.649
4.40,-0.1520,0.196,0.156,-0.0010,-0.110,6.693
4.41,-0.1490,0.208,-0.000,-0.0010,0.004,5.504
4.43,-0.1460,0.196,-0.156,0.0000,0.056,2.648
4.44,-0.1440,0.196,0.156,0.0010,0.065,0.339
4.45,-0.1410,0.208,-0.000,0.0020,0.046,-0.490
4.47,-0.1380,0.196,-0.156,0.0020,0.040,-0.243
4.48,-0.1360,0.196,0.156,0.0030,0.040,0.113
4.49,-0.1330,0.208,0.000,0.0030,0.044,0.365
4.51,-0.1300,0.196,-0.156,0.0040,0.058,-0.004
4.52,-0.1280,0.196,0.156,0.0050,0.044,-0.395
4.53,-0.1250,0.208,-0.000,0.0050,0.040,-0.256
4.55,-0.1220,0.196,-0.156,0.0060,0.038,-0.095
4.56,-0.1200,0.196,0.156,0.0060,0.038,0.095
4.57,-0.1170,0.208,0.000,0.0070,0.040,0.256
4.59,-0.1140,0.196,-0.156,0.0070,0.044,0.395
4.60,-0.1120,0.196,0.156,0.0080,0.058,0.000
4.61,-0.1090,0.208,-0.000,0.0090,0.044,-0.395
4.63,-0.1060,0.196,-0.156,0.0090,0.040,-0.256
4.64,-0.1040,0.196,0.156,0.0100,0.038,-0.095
4.65,-0.1010,0.208,0.000,0.0100,0.038,0.095
4.67,-0.0980,0.196,-0.161,0.0110,0.040,0.256
4.68,-0.0960,0.196,0.130,0.0110,0.044,0.395
4.69,-0.0930,0.208,-0.117,0.0120,0.058,-0.000
4.71,-0.0900,0.194,-0.395,0.0130,0.044,-0.395
4.72,-0.0880,0.190,-0.143,0.0130,0.040,-0.260
4.73,-0.0850,0.190,0.139,0.0140,0.038,-0.122
4.75,-0.0830,0.194,0.365,0.0140,0.038,-0.022
4.76,-0.0800,0.208,-0.030,0.0150,0.038,0.022
4.77,-0.0770,0.194,-0.512,0.0150,0.038,0.122
4.79,-0.0750,0.188,-0.495,0.0160,0.040,0.260
4.80,-0.0720,0.181,-0.395,0.0160,0.044,0.391
4.81,-0.0700,0.169,0.239,0.0170,0.058,-0.026
4.83,-0.0680,0.188,0.812,0.0180,0.044,-0.517
4.84,-0.0650,0.206,0.382,0.0180,0.038,-0.521
4.85,-0.0620,0.196,-0.013,0.0190,0.031,-0.512
4.87,-0.0600,0.196,0.156,0.0190,0.017,-0.000
4.88,-0.0570,0.208,-0.143,0.0190,0.031,0.512
4.89,-0.0540,0.194,-0.543,0.0200,0.038,0.521
4.91,-0.0520,0.188,-0.525,0.0200,0.044,0.512
4.92,-0.0490,0.181,-0.512,0.0210,0.058,-0.000
4.93,-0.0470,0.167,0.003,0.0220,0.044,-0.510
4.95,-0.0450,0.181,0.531,0.0220,0.038,-0.511
4.96,-0.0420,0.188,0.633,0.0230,0.031,-0.449
4.97,-0.0400,0.195,0.871,0.0230,0.018,0.169
4.99,-0.0370,0.214,0.886,0.0230,0.033,0.931
5.00,-0.0340,0.221,0.735,0.0240,0.054,1.335
