Tiempo_InelasticoPeso,Posicion_1_InelasticoPeso,Velocidad_1_InelasticoPeso,Aceleracion_1_InelasticoPeso,Posicion_2_InelasticoPeso,Velocidad_2_InelasticoPeso,Aceleracion_2_InelasticoPeso
2.36,0.0510,0.300,0.000,-0.166,-0.298,0.382
2.37,0.0550,0.300,0.000,-0.17,-0.292,0.655
2.39,0.0590,0.300,-0.000,-0.174,-0.273,0.395
2.40,0.0630,0.300,-0.000,-0.177,-0.273,-0.395
2.41,0.0670,0.300,0.000,-0.181,-0.292,-0.655
2.43,0.0710,0.300,0.000,-0.185,-0.298,-0.382
2.44,0.0750,0.300,0.000,-0.189,-0.3,-0.148
2.45,0.0790,0.300,-0.000,-0.193,-0.3,-0.03
2.47,0.0830,0.300,-0.004,-0.197,-0.3,-0.004
2.48,0.0870,0.300,-0.030,-0.201,-0.3,0.0
2.49,0.0910,0.300,-0.148,-0.205,-0.3,0.004
2.51,0.0950,0.298,-0.382,-0.209,-0.3,0.03
2.52,0.0990,0.292,-0.655,-0.213,-0.3,0.148
2.53,0.1030,0.273,-0.395,-0.217,-0.298,0.382
2.55,0.1060,0.273,0.395,-0.221,-0.292,0.655
2.56,0.1100,0.292,0.655,-0.225,-0.273,0.395
2.57,0.1140,0.298,0.382,-0.228,-0.273,-0.395
2.59,0.1180,0.300,0.148,-0.232,-0.292,-0.655
2.60,0.1220,0.300,0.030,-0.236,-0.298,-0.378
2.61,0.1260,0.300,0.004,-0.24,-0.3,-0.117
2.63,0.1300,0.300,-0.000,-0.244,-0.3,0.117
2.64,0.1340,0.300,-0.004,-0.248,-0.3,0.378
2.65,0.1380,0.300,-0.030,-0.252,-0.292,0.655
2.67,0.1420,0.300,-0.148,-0.256,-0.273,0.399
2.68,0.1460,0.298,-0.382,-0.259,-0.273,-0.365
2.69,0.1500,0.292,-0.655,-0.263,-0.292,-0.508
2.71,0.1540,0.273,-0.399,-0.267,-0.296,0.004
2.72,0.1570,0.273,0.365,-0.271,-0.292,0.538
2.73,0.1610,0.292,0.508,-0.275,-0.273,0.512
2.75,0.1650,0.296,-0.000,-0.278,-0.271,-0.017
2.76,0.1690,0.292,-0.508,-0.282,-0.283,0.0
2.77,0.1730,0.273,-0.369,-0.286,-0.271,0.013
2.79,0.1760,0.273,0.369,-0.289,-0.273,-0.538
2.80,0.1800,0.292,0.508,-0.293,-0.292,-0.655
2.81,0.1840,0.296,0.000,-0.297,-0.298,-0.239
2.83,0.1880,0.292,-0.508,-0.301,-0.298,0.234
2.84,0.1920,0.273,-0.365,-0.305,-0.292,0.629
2.85,0.1950,0.273,0.399,-0.309,-0.273,0.421
2.87,0.1990,0.292,0.655,-0.312,-0.273,-0.247
2.88,0.2030,0.298,0.378,-0.316,-0.29,-0.269
2.89,0.2070,0.300,0.117,-0.32,-0.29,0.304
2.91,0.2110,0.300,-0.117,-0.324,-0.273,0.395
2.92,0.2150,0.298,-0.378,-0.327,-0.271,-0.039
2.93,0.2190,0.292,-0.655,-0.331,-0.283,0.026
2.95,0.2230,0.273,-0.395,-0.335,-0.271,0.161
2.96,0.2260,0.273,0.391,-0.338,-0.271,-0.161
2.97,0.2300,0.292,0.625,-0.342,-0.283,-0.026
2.99,0.2340,0.298,0.234,-0.346,-0.271,0.039
3.00,0.2380,0.298,-0.239,-0.349,-0.273,-0.395
3.01,0.2420,0.292,-0.655,-0.353,-0.29,-0.304
3.03,0.2460,0.273,-0.538,-0.357,-0.29,0.273
3.04,0.2490,0.271,0.009,-0.361,-0.273,0.278
3.05,0.2530,0.283,-0.030,-0.364,-0.273,-0.278
3.07,0.2570,0.271,-0.161,-0.368,-0.29,-0.273
3.08,0.2600,0.271,0.161,-0.372,-0.29,0.304
3.09,0.2640,0.283,0.030,-0.376,-0.273,0.399
3.11,0.2680,0.271,-0.009,-0.379,-0.271,-0.013
3.12,0.2710,0.273,0.538,-0.383,-0.283,0.143
3.13,0.2750,0.292,0.655,-0.387,-0.269,0.395
3.15,0.2790,0.298,0.239,-0.39,-0.265,0.117
3.16,0.2830,0.298,-0.234,-0.394,-0.265,-0.26
3.17,0.2870,0.292,-0.625,-0.397,-0.271,-0.634
3.19,0.2910,0.273,-0.395,-0.401,-0.29,-0.417
3.20,0.2940,0.273,0.365,-0.405,-0.29,0.273
3.21,0.2980,0.292,0.503,-0.409,-0.273,0.395
3.23,0.3020,0.296,-0.030,-0.412,-0.271,-0.013
3.24,0.3060,0.292,-0.660,-0.416,-0.283,0.143
3.25,0.3100,0.271,-0.777,-0.42,-0.269,0.399
3.27,0.3130,0.265,-0.404,-0.423,-0.265,0.143
3.28,0.3170,0.263,-0.122,-0.427,-0.265,-0.143
3.29,0.3200,0.263,0.122,-0.43,-0.269,-0.399
3.31,0.3240,0.265,0.408,-0.434,-0.283,-0.143
3.32,0.3270,0.271,0.803,-0.438,-0.271,0.013
3.33,0.3310,0.292,0.777,-0.441,-0.273,-0.399
3.35,0.3350,0.298,0.265,-0.445,-0.29,-0.304
3.36,0.3390,0.298,-0.230,-0.449,-0.29,0.265
3.37,0.3430,0.292,-0.638,-0.453,-0.273,0.221
3.39,0.3470,0.273,-0.499,-0.456,-0.273,-0.53
3.40,0.3500,0.273,-0.187,-0.46,-0.294,-0.786
3.41,0.3540,0.285,-1.220,-0.464,-0.304,-0.074
3.43,0.3580,0.265,-3.837,-0.468,-0.313,1.992
3.44,0.3620,0.177,-5.877,-0.473,-0.267,5.026
3.45,0.3630,0.069,-5.026,-0.476,-0.158,6.563
3.47,0.3630,0.019,-2.157,-0.477,-0.06,5.868
3.48,0.3630,0.015,0.703,-0.477,-0.0,4.727
3.49,0.3630,0.048,2.695,-0.477,0.052,4.249
3.51,0.3640,0.104,3.169,-0.476,0.123,3.221
3.52,0.3660,0.146,2.435,-0.473,0.146,1.723
3.53,0.3680,0.175,1.146,-0.472,0.156,1.033
3.55,0.3710,0.177,-0.152,-0.469,0.173,0.477
3.56,0.3730,0.158,-0.495,-0.467,0.165,0.278
3.57,0.3750,0.154,-0.113,-0.465,0.179,0.161
3.59,0.3770,0.156,0.278,-0.462,0.177,-0.395
3.60,0.3790,0.171,0.122,-0.46,0.16,-0.417
3.61,0.3820,0.158,0.009,-0.458,0.158,0.035
3.63,0.3830,0.160,0.517,-0.456,0.171,-0.022
3.64,0.3860,0.179,0.534,-0.453,0.158,-0.135
3.65,0.3880,0.183,-0.022,-0.452,0.158,0.278
3.67,0.3910,0.179,-0.634,-0.449,0.173,0.26
3.68,0.3930,0.158,-0.655,-0.447,0.165,0.234
3.69,0.3950,0.154,-0.143,-0.445,0.179,0.13
3.71,0.3970,0.156,0.269,-0.442,0.177,-0.512
3.72,0.3990,0.171,0.091,-0.44,0.158,-0.651
3.73,0.4020,0.158,-0.135,-0.438,0.152,-0.239
3.75,0.4030,0.158,0.165,-0.436,0.152,0.234
3.76,0.4060,0.171,0.026,-0.434,0.158,0.625
3.77,0.4080,0.158,-0.039,-0.432,0.177,0.391
3.79,0.4100,0.160,0.391,-0.429,0.177,-0.395
3.80,0.4120,0.177,0.278,-0.427,0.158,-0.651
3.81,0.4150,0.177,-0.395,-0.425,0.152,-0.352
3.83,0.4170,0.158,-0.538,-0.423,0.15,-0.0
3.84,0.4190,0.154,-0.122,-0.421,0.152,0.352
3.85,0.4210,0.156,0.247,-0.419,0.158,0.651
3.87,0.4230,0.171,-0.026,-0.417,0.177,0.395
3.88,0.4260,0.156,-0.373,-0.414,0.177,-0.391
3.89,0.4270,0.152,-0.139,-0.412,0.158,-0.629
3.91,0.4300,0.152,0.143,-0.41,0.152,-0.26
3.92,0.4310,0.156,0.399,-0.408,0.152,0.117
3.93,0.4340,0.171,0.143,-0.406,0.156,0.391
3.95,0.4360,0.158,-0.013,-0.404,0.171,0.117
3.96,0.4380,0.160,0.395,-0.401,0.158,-0.135
3.97,0.4400,0.177,0.273,-0.4,0.158,0.139
3.99,0.4430,0.177,-0.421,-0.397,0.171,-0.091
4.00,0.4450,0.158,-0.655,-0.395,0.156,-0.273
4.01,0.4470,0.152,-0.356,-0.393,0.154,0.117
4.03,0.4490,0.150,-0.026,-0.391,0.158,0.534
4.04,0.4510,0.152,0.230,-0.389,0.177,0.369
4.05,0.4530,0.156,0.391,-0.386,0.177,-0.399
4.07,0.4550,0.171,-0.000,-0.384,0.158,-0.655
4.08,0.4580,0.156,-0.395,-0.382,0.152,-0.378
4.09,0.4590,0.152,-0.260,-0.38,0.15,-0.122
4.11,0.4620,0.150,-0.122,-0.378,0.15,0.091
4.12,0.4630,0.150,-0.022,-0.376,0.152,0.256
4.13,0.4660,0.150,0.022,-0.374,0.156,0.395
4.15,0.4670,0.150,0.122,-0.372,0.171,-0.0
4.16,0.4700,0.152,0.260,-0.369,0.156,-0.395
4.17,0.4710,0.156,0.395,-0.368,0.152,-0.256
4.19,0.4740,0.171,-0.000,-0.365,0.15,-0.095
4.20,0.4760,0.156,-0.395,-0.364,0.15,0.095
4.21,0.4780,0.152,-0.256,-0.361,0.152,0.256
4.23,0.4800,0.150,-0.095,-0.36,0.156,0.395
4.24,0.4820,0.150,0.095,-0.357,0.171,-0.0
4.25,0.4840,0.152,0.256,-0.355,0.156,-0.395
4.27,0.4860,0.156,0.395,-0.353,0.152,-0.26
4.28,0.4880,0.171,-0.000,-0.351,0.15,-0.122
4.29,0.4910,0.156,-0.395,-0.349,0.15,-0.026
4.31,0.4920,0.152,-0.256,-0.347,0.15,-0.004
4.32,0.4950,0.150,-0.095,-0.345,0.15,-0.0
4.33,0.4960,0.150,0.095,-0.343,0.15,-0.0
4.35,0.4990,0.152,0.256,-0.341,0.15,0.0
4.36,0.5000,0.156,0.395,-0.339,0.15,0.0
4.37,0.5030,0.171,-0.000,-0.337,0.15,-0.0
4.39,0.5050,0.156,-0.395,-0.335,0.15,0.0
4.40,0.5070,0.152,-0.260,-0.333,0.15,0.0
4.41,0.5090,0.150,-0.122,-0.331,0.15,-0.0
4.43,0.5110,0.150,-0.026,-0.329,0.15,-0.0
4.44,0.5130,0.150,-0.004,-0.327,0.15,0.0
4.45,0.5150,0.150,-0.000,-0.325,0.15,-0.0
4.47,0.5170,0.150,-0.000,-0.323,0.15,-0.0
4.48,0.5190,0.150,0.000,-0.321,0.15,0.0
4.49,0.5210,0.150,-0.004,-0.319,0.15,0.0
4.51,0.5230,0.150,-0.026,-0.317,0.15,-0.0
4.52,0.5250,0.150,-0.122,-0.315,0.15,-0.0
